title,url,category,description,datetime,title_len
"Хакери атакували сервіси ""Нової пошти"": у компанії зробили заяву",https://www.rbc.ua/rus/news/hakeri-atakuvali-servisi-novoyi-poshti-kompaniyi-1778169628.html,,,19:02,64
"Білоруські спортсмени зможуть виступати під своїм прапором, - рішення МОК",https://www.rbc.ua/rus/news/biloruski-sportsmeni-zmozhut-vistupati-pid-1778169542.html,,,19:00,73
Україна та Швеція можуть підписати угоду щодо Gripen вже цього року,https://www.rbc.ua/rus/news/ukrayina-ta-shvetsiya-mozhut-pidpisati-ugodu-1778168033.html,,,18:48,67
"Ізраїль запропонував Україні рішення проти купівлі краденого Росією зерна, - джерело",https://www.rbc.ua/rus/news/izrayil-zaproponuvav-ukrayini-rishennya-proti-1778168278.html,,,18:39,84
"Фіцо полетить до Москви ""великою дугою"" через заборону Польщі та країн Балтії, - ЗМІ",https://www.rbc.ua/rus/news/fitso-poletit-moskvi-velikoyu-dugoyu-cherez-1778167241.html,,,18:33,84
"Удар по нафтозаводу в Пермі спричинив пожежу на установках, - Генштаб",https://www.rbc.ua/rus/news/udar-naftozavodu-permi-sprichiniv-pozhezhu-1778165187.html,,,17:58,69
Елітні іномарки чи старенькі бюджетки? Які авто найчастіше заправляють з кешбеком,https://www.rbc.ua/rus/news/keshbek-palne-vodiyi-kih-avto-pochali-otrimuvati-1778162227.html,,,17:52,81
"У Київ офіційно прийшло літо: коли травень ""посунув"" весну і встановив нові спекотні рекорди",https://www.rbc.ua/rus/news/kiyiv-ofitsiyno-priyshlo-lito-koli-traven-1778165165.html,,,17:48,92
"Росія посилює ""полювання"" на опонентів путінського режиму за кордоном, - ЗМІ",https://www.rbc.ua/rus/news/rosiya-posilyue-polyuvannya-oponentiv-putinskogo-1778164650.html,,,17:37,76
Зеленський дав Умєрову три завдання перед переговорами у США,https://www.rbc.ua/rus/news/zelenskiy-dav-umerovu-tri-zavdannya-pered-1778163033.html,,,17:19,60
"Сили оборони уразили носія ""Калібрів"" на базі ""Каспійськ"", - Генштаб",https://www.rbc.ua/rus/news/sili-oboroni-urazili-nosiya-kalibriv-bazi-1778161767.html,,,17:06,68
"Виробництво сталі ""Метінвесту"" впало на 20%, але випуск прокату зріс: звіт компанії",https://www.rbc.ua/rus/news/virobnitstvo-stali-metinvestu-vpalo-20-ale-1778161482.html,,,16:44,83
"Росія вдарила по поїзду в Миколаївській області, два рейси затримуються",https://www.rbc.ua/rus/news/rosiya-vdarila-poyizdu-mikolayivskiy-oblasti-1778160500.html,,,16:28,71
Топ-чиновник Рівненської облради отримав 9 років в'язниці за схему з санаторієм,https://www.rbc.ua/rus/news/top-chinovnik-rivnenskoyi-oblradi-otrimav-1778159206.html,,,16:26,79
"Ні миру, ні війни: чому Іран і Трамп не можуть домовитись про кінець бойових дій Пт 08.05.2026, 12:00",https://www.rbc.ua/rus/news/ni-miru-ni-viyni-chomu-iran-i-tramp-mozhut-1778230071.html,,,,101
"15 років за ""потрібну адресу"". Репортаж із колонії, де сидять коригувальниці російських ракет",https://www.rbc.ua/rus/news/15-rokiv-potribnu-adresu-reportazh-iz-koloniyi-1778010874.html,,,,93
"""Ми не вигадали нічого нового"": співавтор Цивільного кодексу 2.0 про резонанс проекту",https://www.rbc.ua/rus/news/mi-vigadali-nichogo-novogo-spivavtor-tsivilnogo-1778057227.html,,,,85
Воєнна страховка для бізнесу: скільки коштує захист та як зробити його більш доступним,https://www.rbc.ua/rus/news/voenna-strahovka-biznesu-skilki-koshtue-zahist-1777639747.html,,,,86
"Сім років Зеленського. Який план президента на війну, владу і вибори",https://www.rbc.ua/rus/news/sim-rokiv-zelenskogo-kiy-plan-prezidenta-1777832113.html,,,,68
"Не “імпорт” робочої сили, а повернення українців: якою має бути стратегія держави",https://www.rbc.ua/rus/news/-import-rabochoyi-sili-povernennya-ukrayintsiv-1778239361.html,,,,81
Мінус Вінниця щороку. Чому керована міграція – це єдиний шлях до відновлення України,https://www.rbc.ua/rus/news/minus-vinnitsya-shchoroku-chomu-kerovana-1777991759.html,,,,84
Чому Нацбанк не пом’якшує монетарну політику?,https://www.rbc.ua/rus/news/chomu-natsbank-pom-yakshue-monetarnu-politiku-1777833209.html,,,,45
Нові правила ротації в ЗСУ. Як системні зміни в армії трансформують рекрутинг,https://www.rbc.ua/rus/news/novi-pravila-rotatsiyi-zsu-k-sistemni-zmini-1777542872.html,,,,77
Jetour X50: Стильний кросовер для міста,https://www.rbc.ua/rus/news/jetour-x50-stilniy-krosover-mista-1777382620.html,,,,39
День матері 2026: коли в Україні вітають найрідніших і як визначається дата,https://www.rbc.ua/rus/news/den-materi-2026-koli-ukrayini-vitayut-nayridnishih-1778261420.html,,,20:33,75
Без мотиваційних листів та нові ліміти заяв: КНУ оприлюднив правила вступу на 2026 рік,https://www.rbc.ua/rus/news/motivatsiynih-listiv-ta-novi-limiti-zayav-1778256092.html,,,19:32,86
Уникнути суду не вдасться: як планують посилити відповідальність за булінг у школах,https://www.rbc.ua/rus/news/uniknuti-sudu-vdastsya-k-planuyut-posiliti-1778253363.html,,,18:17,83
"""Якби не СРСР, Друга світова б не розпочалась"": інтерв'ю з істориком про ціну перемоги для України",https://www.rbc.ua/rus/news/yakbi-srsr-druga-svitova-rozpochalas-interv-1777745672.html,,,,98
"Рішення ВЛК, виплати та накази: військовим пояснили, як оскаржити незаконні дії командування",https://www.rbc.ua/rus/news/rishennya-vlk-viplati-ta-nakazi-viyskovim-1778163131.html,,,,92
"Більше не ""9 травня"": як Україна змінила формат вшанування перемоги над нацизмом",https://www.rbc.ua/rus/news/bilshe-9-travnya-k-ukrayina-zminila-format-1778170522.html,,,,80
"Скільки коштує гуртожиток у 2025: ціни в університетах Києва, Львова та Харкова",https://www.rbc.ua/rus/news/skilki-koshtue-gurtozhitok-2025-tsini-universitetah-1753704354.html,,,,79
Реформа ВСУ,https://www.rbc.ua/ukr/news/reforma-zsu-kih-zmin-armiyi-chekati-vzhe-1777644218.html,,,,11
Трамп объявил о трехдневном перемирии и обмене пленными между Украиной и РФ,https://www.rbc.ua/ukr/news/tramp-ogolosiv-tridenne-peremir-ya-i-obmin-1778264017.html,,,,75
"У Зеленского рассказали, какой сигнал Фицо повез Путину Пт 08.05.2026, 15:49",https://www.rbc.ua/ukr/news/zelenskogo-rozpovili-kiy-signal-fitso-poviz-1778244206.html,,,,76
"Зарплаты украинцев вырастут: Нацбанк дал обнадеживающий прогноз на 2026 год Пт 08.05.2026, 15:50",https://www.rbc.ua/ukr/news/zarplati-ukrayintsiv-zrostut-natsbank-dav-1778244046.html,,,,96
"Украина изготовит 25 тысяч боевых роботов для замены людей в ""зоне смерти""",https://www.rbc.ua/ukr/news/ukrayina-vigotovit-25-tisyach-boyovih-robotiv-1778262954.html,,,,74
"Пылает стратегический НПЗ, был удар по арсеналу ГРАУ: Генштаб подтвердил ряд атак на РФ Пт 08.05.2026, 20:20",https://www.rbc.ua/ukr/news/rf-palae-strategichniy-npz-arsenal-grau-kedrovka-1778260282.html,,,,108
"Сырский заявил об активизации врага и скоплении сил РФ под Покровском Пт 08.05.2026, 19:22",https://www.rbc.ua/ukr/news/sirskiy-zayaviv-aktivizatsiyu-voroga-ta-skupchennya-1778256567.html,,,,90
"НБУ объяснил, почему цены на АЗС не упали несмотря на удешевление нефти",https://www.rbc.ua/ukr/news/nbu-poyasniv-chomu-tsini-azs-vpali-popri-1778260079.html,,,,71
"Демонополизация газового рынка необходима для инвестиций и роста добычи, - НАДПУ Пт 08.05.2026, 18:58",https://www.rbc.ua/ukr/news/demonopolizatsiya-gazovogo-rinku-potribna-1778255895.html,,,,101
